case_id,image_filename,dice,iou,precision,recall,specificity,hd95_mm,latency_ms,tp_px,fp_px,fn_px,tn_px,error_type,possible_cause
OTU_2D_train_195,195.JPG,0.957,0.9176,0.9389,0.9758,0.9658,0.85,1327.2,22372,1456,554,41154,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1185,1185.JPG,0.8762,0.7797,0.9812,0.7916,0.9903,2.69,1509.3,20201,388,5319,39628,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_24,24.JPG,0.4715,0.3085,0.336,0.7898,0.8508,12.06,1344.6,4517,8925,1202,50892,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_test_925,925.JPG,0.0705,0.0366,0.0553,0.0973,0.9154,9.97,1010.4,309,5275,2867,57085,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_1247,1247.JPG,0.813,0.685,0.685,1.0,0.9679,1.43,938.4,4277,1967,0,59292,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_331,331.JPG,0.541,0.3708,0.5661,0.5181,0.9319,7.7,317.6,4970,3810,4622,52134,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_1012,1012.JPG,0.9521,0.9085,0.9414,0.963,0.9879,3.83,1502.0,10590,659,407,53880,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1219,1219.JPG,0.9004,0.8189,0.8205,0.9976,0.98,1.4,1536.1,5485,1200,13,58838,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1387,1387.JPG,0.9226,0.8563,0.8709,0.9808,0.9769,1.34,1411.8,8803,1305,172,55256,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_240,240.JPG,0.964,0.9305,0.9494,0.979,0.9762,1.04,1327.9,20133,1072,432,43899,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_50,50.JPG,0.9293,0.8679,0.9047,0.9553,0.9895,1.12,1718.1,5892,621,276,58747,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_118,118.JPG,0.9074,0.8305,0.9993,0.831,0.9996,3.13,921.8,22764,15,4631,38126,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_308,308.JPG,0.0,0.0,1.0,0.0,1.0,999.0,1534.0,0,0,2522,63014,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_796,796.JPG,0.7596,0.6123,0.6123,1.0,0.975,1.66,1281.9,2494,1579,0,61463,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_1295,1295.JPG,0.4488,0.2894,0.5058,0.4034,0.9808,4.11,560.2,1226,1198,1813,61299,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_249,249.JPG,0.955,0.9139,0.9429,0.9675,0.9832,1.24,958.8,14090,854,473,50119,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_164,164.JPG,0.7946,0.6591,0.8451,0.7497,0.9638,3.1,954.8,10239,1877,3418,50002,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_618,618.JPG,0.7563,0.6081,0.6606,0.8843,0.9916,2.01,654.2,1055,542,138,63801,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_911,911.JPG,0.345,0.2084,0.2271,0.717,0.9566,5.23,1538.0,821,2794,324,61597,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_1043,1043.JPG,0.0004,0.0002,1.0,0.0002,1.0,8.49,1329.0,1,0,4491,61044,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_1343,1343.JPG,0.6277,0.4574,0.4594,0.9906,0.9056,4.95,1848.0,4862,5721,46,54907,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_CEUS_94,94.JPG,0.3328,0.1996,0.2349,0.5709,0.8539,9.67,1343.4,2725,8878,2048,51885,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_CEUS_4,4.JPG,0.2903,0.1698,0.2028,0.5106,0.7926,10.56,986.9,3135,12320,3005,47076,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_1428,1428.JPG,0.7504,0.6005,0.9575,0.6169,0.9979,3.7,1090.6,2908,129,1806,60693,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_646,646.JPG,0.8972,0.8135,0.8138,0.9995,0.9859,0.91,487.1,3799,869,2,60866,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_83,83.JPG,0.7267,0.5707,0.9313,0.5958,0.9733,5.9,1647.0,14754,1088,10011,39683,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_1187,1187.JPG,0.9008,0.8195,0.9956,0.8225,0.9995,1.39,2024.5,6488,29,1400,57619,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1159,1159.JPG,0.8927,0.8061,0.9969,0.8081,0.9978,2.2,3346.2,24743,76,5875,34842,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_590,590.JPG,0.7754,0.6332,0.6359,0.9934,0.9663,5.1,2740.9,3638,2083,24,59791,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_1429,1429.JPG,0.0631,0.0326,1.0,0.0326,1.0,3.55,1111.0,40,0,1187,64309,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_610,610.JPG,0.9276,0.865,0.901,0.9558,0.9855,5.22,608.8,7596,835,351,56754,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1047,1047.JPG,0.9188,0.8498,0.8552,0.9926,0.9784,2.0,567.4,7403,1253,55,56825,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_683,683.JPG,0.8904,0.8024,0.835,0.9535,0.964,6.5,928.6,10016,1979,488,53053,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_294,294.JPG,0.8757,0.7789,0.961,0.8043,0.9974,1.02,562.8,3945,160,960,60471,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_851,851.JPG,0.8982,0.8153,0.8154,0.9998,0.9786,1.17,667.3,5667,1283,1,58585,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_423,423.JPG,0.6791,0.5141,0.9638,0.5243,0.9986,2.1,791.0,2236,84,2029,61187,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_668,668.JPG,0.9575,0.9185,0.9247,0.9929,0.9731,0.95,1340.4,16250,1324,117,47845,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_334,334.JPG,0.8188,0.6932,0.7032,0.9799,0.9946,3.1,1636.8,827,349,17,64343,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_133,133.JPG,0.9537,0.9114,0.9454,0.9621,0.9819,1.12,1442.4,15474,894,610,48558,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_615,615.JPG,0.9699,0.9416,0.9556,0.9847,0.994,0.7,1294.0,7532,350,117,57537,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_117,117.JPG,0.7227,0.5657,0.5823,0.9521,0.9323,3.26,879.9,5628,4037,283,55588,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_532,532.JPG,0.7485,0.5981,0.9924,0.6008,0.9998,1.44,1055.8,1442,11,958,63125,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_CEUS_103,103.JPG,0.8787,0.7837,0.7968,0.9794,0.9406,3.77,501.4,12333,3145,259,49799,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_599,599.JPG,0.1603,0.0871,0.0871,1.0,0.9011,11.04,1490.6,613,6424,0,58499,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_test_281,281.JPG,0.8589,0.7527,0.9281,0.7993,0.9918,2.26,1102.5,6157,477,1546,57356,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_40,40.JPG,0.892,0.8051,0.8758,0.9088,0.9924,0.76,1706.2,3308,469,332,61427,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_328,328.JPG,0.5568,0.3858,0.3858,1.0,0.9892,4.19,1444.7,441,702,0,64393,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_31,31.JPG,0.9344,0.877,0.9382,0.9307,0.9867,1.12,1020.1,10883,717,810,53126,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_627,627.JPG,0.6734,0.5076,0.8585,0.554,0.9818,8.91,836.6,6030,994,4855,53657,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_1409,1409.JPG,0.7121,0.5529,0.6758,0.7525,0.9758,3.49,1353.6,3099,1487,1019,59931,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_725,725.JPG,0.8057,0.6746,0.9548,0.6969,0.9843,5.32,907.7,14720,697,6402,43717,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_33,33.JPG,0.8568,0.7495,0.7506,0.9981,0.9581,5.33,623.9,7338,2438,14,55746,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1415,1415.JPG,0.8794,0.7848,0.9879,0.7924,0.9985,1.84,998.4,6966,85,1825,56660,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_432,432.JPG,0.9487,0.9023,0.9471,0.9503,0.9841,1.21,1217.8,14331,801,750,49654,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_497,497.JPG,0.4618,0.3002,0.3002,1.0,0.9528,3.75,749.7,1302,3035,0,61199,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_CEUS_87,87.JPG,0.6553,0.4874,0.4874,1.0,0.884,6.13,1509.8,6511,6849,0,52176,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_579,579.JPG,0.8276,0.706,0.7074,0.9972,0.9108,6.36,1511.1,11623,4808,33,49072,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_1376,1376.JPG,0.9284,0.8663,0.8731,0.9911,0.9868,0.94,1642.9,5462,794,49,59231,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_829,829.JPG,0.7631,0.6169,0.6538,0.9163,0.9839,2.76,1066.1,1926,1020,176,62414,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_766,766.JPG,0.6934,0.5307,0.5771,0.8685,0.9298,6.01,1169.0,5653,4142,856,54885,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_test_748,748.JPG,0.6267,0.4564,0.746,0.5404,0.9544,4.9,972.0,7033,2395,5982,50126,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_1181,1181.JPG,0.8952,0.8103,0.9521,0.8447,0.9943,2.5,292.2,6521,328,1199,57488,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_805,805.JPG,0.8062,0.6753,0.9862,0.6817,0.9926,6.59,1497.1,19506,272,9108,36650,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_585,585.JPG,0.0367,0.0187,0.1511,0.0209,0.9982,2.87,1333.2,21,118,985,64412,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_776,776.JPG,0.0,0.0,1.0,0.0,1.0,999.0,1541.3,0,0,6861,58675,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_206,206.JPG,0.3775,0.2327,0.2427,0.849,0.9749,4.67,1015.7,523,1632,93,63288,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_874,874.JPG,0.8727,0.7741,0.8045,0.9535,0.9843,2.0,907.5,3962,963,193,60418,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_953,953.JPG,0.6687,0.5023,0.5023,1.0,0.9443,6.65,1578.3,3488,3456,0,58592,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_7,7.JPG,0.8857,0.7948,0.7972,0.9963,0.975,1.77,1281.5,5872,1494,22,58148,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_466,466.JPG,0.1921,0.1063,0.669,0.1122,0.9952,3.75,1593.4,582,288,4606,60060,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_1030,1030.JPG,0.409,0.2571,0.2575,0.994,0.8536,7.64,912.4,3165,9128,19,53224,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_41,41.JPG,0.8502,0.7394,0.8007,0.9062,0.987,1.56,945.1,3238,806,335,61157,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_655,655.JPG,0.6174,0.4466,0.994,0.4478,0.9989,4.47,1420.7,8340,50,10286,46860,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_1303,1303.JPG,0.8808,0.7869,0.7869,1.0,0.9741,2.4,815.5,5725,1550,0,58261,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1056,1056.JPG,0.7084,0.5485,0.6735,0.7471,0.9533,3.4,1362.0,5592,2711,1893,55340,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_1347,1347.JPG,0.8552,0.7471,0.756,0.9844,0.9741,1.79,1589.1,4871,1572,77,59016,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_325,325.JPG,0.9255,0.8614,0.8657,0.9943,0.9894,1.0,1340.9,4182,649,24,60681,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_54,54.JPG,0.0227,0.0115,0.9737,0.0115,1.0,4.0,1323.4,37,1,3181,62317,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_229,229.JPG,0.9339,0.8761,0.9302,0.9378,0.9921,0.8,1009.3,6207,466,412,58451,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_46,46.JPG,0.7962,0.6614,0.9907,0.6655,0.9972,4.85,693.6,13474,126,6771,45165,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_791,791.JPG,0.8813,0.7878,0.8785,0.8841,0.9683,3.91,640.9,11919,1649,1562,50406,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_313,313.JPG,0.9707,0.943,0.9753,0.9661,0.9859,1.17,1540.1,23175,587,814,40960,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
